lmdata,ntcdata,dsdata
23.01,23.63,27.19
22.99,23.62,27.19
22.98,23.61,27.19
22.97,23.6,27.12
22.93,23.59,27.12
22.94,23.58,27.12
22.97,23.56,27.06
22.97,23.54,27.06
22.98,23.51,27.0
22.99,23.51,27.0
23.01,23.49,27.0
23.02,23.48,26.94
23.01,23.46,26.94
22.98,23.45,26.94
22.95,23.43,26.94
22.92,23.42,26.87
22.9,23.4,26.87
22.88,23.38,26.87
22.84,23.36,26.87
22.8,23.34,26.87
22.77,23.33,26.81
22.74,23.32,26.81
22.7,23.31,26.81
22.69,23.3,26.81
22.68,23.3,26.81
22.67,23.29,26.75
22.67,23.29,26.75
22.66,23.29,26.75
22.66,23.29,26.75
22.68,23.29,26.75
22.69,23.29,26.69
22.7,23.29,26.69
22.7,23.29,26.69
22.71,23.29,26.69
22.72,23.29,26.62
22.72,23.29,26.62
22.72,23.28,26.62
22.72,23.29,26.62
22.73,23.29,26.62
22.73,23.29,26.56
22.73,23.29,26.56
22.74,23.29,26.56
22.74,23.29,26.56
22.76,23.28,26.56
22.77,23.28,26.56
22.78,23.29,26.56
22.81,23.29,26.56
22.83,23.29,26.5
22.85,23.3,26.5
22.9,23.3,26.5
