lmdata,ntcdata,dsdata
24.58,24.19,24.5
24.58,24.19,24.5
24.58,24.19,24.44
24.57,24.19,24.5
24.56,24.19,24.5
24.57,24.18,24.44
24.56,24.18,24.5
24.58,24.18,24.5
24.6,24.19,24.44
24.63,24.18,24.5
24.67,24.19,24.44
24.69,24.2,24.5
24.72,24.2,24.5
24.73,24.19,24.5
24.73,24.19,24.5
24.74,24.18,24.44
24.78,24.18,24.44
24.81,24.19,24.5
24.82,24.2,24.44
24.8,24.2,24.5
24.8,24.2,24.5
24.8,24.2,24.5
24.8,24.2,24.5
24.81,24.2,24.5
24.81,24.21,24.5
24.82,24.21,24.5
24.81,24.2,24.5
24.79,24.2,24.5
24.79,24.19,24.5
24.78,24.18,24.5
24.75,24.17,24.5
24.71,24.16,24.44
24.68,24.15,24.44
24.66,24.15,24.44
24.64,24.15,24.5
24.6,24.14,24.44
24.57,24.13,24.44
24.55,24.13,24.44
24.54,24.13,24.44
24.54,24.12,24.44
24.54,24.11,24.44
24.54,24.11,24.44
24.54,24.11,24.44
24.54,24.11,24.44
24.54,24.13,24.44
24.54,24.12,24.37
